name,rating,address,category_names
Tapa Coffeehouse,4.5,721 Pollokshaws Road,"('Coffee & Tea',)"
Di Maggios Pizzeria,3.5,1038 Pollokshaws Road,"('Pizza',)"
Lean Canteen,4.0,69 Kilmarnock Road,"('Juice Bars & Smoothies', 'Breakfast & Brunch', 'Sandwiches')"
Queens Park,4.5,520 Langside Road,"('Parks',)"
James Tassie,2.5,63-65 Kilmarnock Road,"('Pubs',)"
The Burrell,3.5,1534 Pollokshaws Road,"('Pubs', 'British')"
The Burrell Collection,4.5,Pollok Country Park,"('Museums', 'Cafes')"
Pollok Country Park,4.5,2060 Pollokshaws Road,"('Parks',)"
Loks Bar & Kitchen,4.0,16 Newlandsfield Road,"('Bars', 'British')"
Newlands Cafe,4.5,262 Kilmarnock Road,"('Cafes', 'Candy Stores', 'Ice Cream & Frozen Yogurt')"
Pollok House Restaurant,4.0,2060 Pollokshaws Rd,"('Breakfast & Brunch', 'Soup', 'Sandwiches')"
Pollokshields Burgh Hall,2.5,Lesley Paddison,"('Venues & Event Spaces', 'Landmarks & Historical Buildings')"
Newlands Home Bakery,4.0,238-240 Kilmarnock Road,"('Bakeries',)"
old stag inn,2.0,12 Greenview Street,"('Pubs',)"
Gatekeeper's Building,4.0,Pollok Country Park,"('Landmarks & Historical Buildings',)"
Greggs,3.0,15 Kilmarnock Road,"('Bakeries',)"
Crystal Castle,4.5,1307 Pollokshaws Road,"('Fast Food', 'Chinese')"
Celino's,4.5,620-624 Alexandra Parade,"('Delis', 'Italian', 'Ice Cream & Frozen Yogurt')"
Tibo,4.0,443 Duke Street,"('British', 'Cafes')"
Nakodar Grill,4.5,13 Annfield Place,"('Indian',)"
Coia's Cafe,4.0,477 Duke Street,"('Cafes', 'Delis')"
Dennistoun Bar-B-Que,4.0,585 Duke Street,"('Barbeque', 'Burgers', 'Fast Food')"
Stan's Studio,5.0,43 Alexandra Park Street,"('Cafes', 'Coffee & Tea')"
Tapa Bakehouse,4.0,21 Whitehill Street,"('Bakeries', 'Organic Stores')"
All In One,4.0,12 Marne Street,"('Fast Food',)"
Bennys Fish & Chicken Bar,3.5,693 Alexandra Parade,"('Fish & Chips',)"
Cafe Zecchino,4.5,331 - 335 Cumbernauld Road,"('Cafes',)"
Amore D'Italia,4.5,506 Alexandra Parade,"('Italian',)"
Poa San Restaurant,4.0,402 Cumbernauld Road,"('Chinese',)"
Redmond's,4.0,304 Duke Street,"('Pubs',)"
Zen,4.0,Alexandra parade,"('Fast Food', 'Chinese')"
Alexandra Park,4.5,10 Sannox Gardens,"('Parks',)"
Swallow Cafe,2.0,582 Alexandra Parade,"('Coffee & Tea', 'Fast Food')"
Lee Wah,3.0,699 Alexandra Parade,"('Fast Food',)"
The Duchess of Duke Street,4.0,380 Duke Street,"('Bars', 'Restaurants')"
Neptune Fish & Chips Dennistoun,4.0,6 Whitehill Street,"('Fish & Chips', 'Pizza', 'Kebab')"
Baking For You,3.0,398-400 Cumbernauld Road,"('Bakeries',)"
Caffe Euro,4.0,549 Duke Street,"('Cafes',)"
Crown Creighton,3.5,476-480 Duke Street,"('Pubs',)"
Subway,4.0,557 Duke St,"('Sandwiches',)"
Black Vanilla,3.5,553 Duke Street,"('Desserts', 'Candy Stores')"
The Alexandra,4.0,470 Duke Street,"('Pubs',)"
Claudios Fast Food,3.5,416 Duke Street,"('Fish & Chips',)"
Mesa,3.5,567 Duke Street,"('Cafes',)"
British Bakeries,4.0,783 Duke St,"('Bakeries',)"
Fork & Knife Cafe,3.0,460 Duke St,"('Coffee & Tea', 'Breakfast & Brunch')"
Happy Day,2.0,629 Duke Street,"('Fast Food',)"
Gamba,4.5,225a West George Street,"('Seafood', 'British')"
The Grill On the Corner,3.5,21-25 Bothwell Street,"('Steakhouses', 'Seafood')"
Gusto,4.0,14-18 Bothwell Street,"('Pizza', 'Italian')"
Springfield Quay Harvester,2.5,Springfield Quay,"('British',)"
La Lanterna,4.0,35 Hope Street,"('Italian',)"
Buck's Bar,4.0,111 W Regent Street,"('Bars', 'Chicken Wings')"
The Admiral,4.0,72a Waterloo Street,"('Pubs',)"
Two Fat Ladies,4.5,118a Blythswood Street,"('Seafood',)"
Meat Bar,4.0,142 West Regent Street,"('Bars', 'Burgers', 'Steakhouses')"
Slouch,4.0,203-205 Bath Street,"('Lounges',)"
The Tea Rooms,4.0,151 Bath Street,"('Tea Rooms', 'British', 'Sandwiches')"
Saramago at the CCA,4.0,350 Sauchiehall Street,"('Cafes', 'Bars', 'Vegan')"
The Tiki Bar & Kitsch Inn,4.0,214 Bath Street,"('Thai', 'Tiki Bars', 'Cocktail Bars')"
Red Onion,4.0,257 W Campbell Street,"('Brasseries', 'Wine Bars')"
Cafe Antipasti,4.0,305 Sauchiehall Street,"('Italian', 'Coffee & Tea')"
Sapori d'Italia,5.0,1021 Cathcart Road,"('Italian',)"
Hooked,4.5,1027 Cathcart Road,"('Fish & Chips',)"
Battlefield Rest,4.5,55 Battlefield Road,"('Italian', 'Brasseries')"
Clockwork Beer Co,3.5,1153-1155 Cathcart Road,"('Pubs', 'Gastropubs')"
New Pearl India,5.0,1021 Cathcart Road,"('Indian',)"
Shezan Tandoori,4.5,1096 Cathcart Road,"('Indian', 'Pakistani')"
Tinto Tapas Bar,3.5,138 Battlefield Road,"('Tapas Bars', 'Spanish')"
New York Jacks,4.5,1009 Cathcart Road,"('Fast Food',)"
Loafers,2.5,10 Clincart Rd,"('Sandwiches', 'Coffee & Tea', 'Delis')"
Milk Cafe,5.0,452 Victoria Road,"('Cafes', 'Community Service/Non-Profit')"
Gusto & Relish,4.0,729-731 Pollokshaws Road,"('Delis', 'Cafes', 'Breakfast & Brunch')"
Frosoulla's,3.5,33 Sinclair Drive,"('Greek',)"
Wee China,4.0,1106 Cathcart Rd,"('Malaysian', 'Thai', 'Chinese')"
Stefano's Pizzeria,4.0,1108 Cathcart Road,"('Pizza',)"
Arturo's Deli,4.5,1 Carmunnock Road,"('Delicatessen', 'Coffee & Tea', 'Portuguese')"
Minnesota Fats,5.0,1055 Cathcart Road,"('Pool Halls', 'Bars')"
Good Chois Cuisine,2.5,13 Cumming Drive Mount Florida,"('Chinese',)"
Da Vinci Takeaway,4.0,126 Holmlea Road,"('Fast Food',)"
SeeWoo Restaurant,3.5,The Point,"('Chinese',)"
Black Sheep Bistro,5.0,10 Clarendon Street,"('British',)"
Yelp Event: Food Photography & Styling Masterclass at Ocho,5.0,Ocho,"('Yelp Events',)"
Ka Ka Lok,4.5,175 Saint Georges Road,"('Chinese',)"
Chinatown Restaurant Glasgow,3.5,42-66 New City Rd,"('Chinese',)"
Asian Gourmet,4.0,17 West Princes Street,"('Chinese',)"
Ocho,4.0,8 Speirs Wharf,"('Scottish', 'Breakfast & Brunch', 'Vegan')"
Forth & Clyde Canal,4.0,Start at Speirs Wharf,"('Local Flavor',)"
Surface+ Café,4.0,91-93 Great Western Road,"('Cafes',)"
Asiama,4.5,185 St Georges Road,"('Asian Fusion',)"
Street Food Putter Club,3.5,Warehouse,"('Golf', 'Burgers')"
Rawnchy,4.0,58 Maryhill Rd,"('Coffee & Tea', 'Desserts', 'Patisserie/Cake Shop')"
China Court Bakery,5.0,265-267 Garscube Road,"('Bakeries',)"
Up On The Hill,2.0,26 Eagle Street,"('Cafes',)"
Amber's Cafe,4.0,18 Balmore Road,"('Cafes', 'Delis')"
Cube Cafe,4.0,675 Garscube Road,"('Cafes',)"
Wahkee Bakery,5.0,Dundas Business Centre,"('Bakeries',)"
Spring Park Bar,4.0,439 Keppochhill Road,"('Bars',)"
Thistle,3.0,94-8 Maryhill Road,"('Pubs',)"
Happy Date,2.0,150 Saracen Street,"('Chinese',)"
The Left Bank,4.0,33-35 Gibson Street,"('Wine Bars', 'Breakfast & Brunch', 'Cocktail Bars')"
Lupe Pintos Deli,4.5,313 Great Western Road,"('Delis',)"
Cottonrake,4.5,497 Great Western Road,"('Bakeries',)"
Shish Mahal,4.5,66-68 Park Road,"('Indian', 'Pakistani')"
The Hug & Pint,4.5,171 Great Western Road,"('Bars', 'Music Venues')"
Paradise,4.0,411-413 Great Western Road,"('Persian/Iranian',)"
Eusebi Deli,4.0,152 Park Road,"('Delicatessen', 'Italian')"
Artisan Roast,4.0,15-17 Gibson Street,"('Coffee & Tea', 'Cafes')"
Inn Deep,4.0,445 Great Western Road,"('Pubs',)"
Munro's,3.5,185 Great Western Road,"('Pubs',)"
Tchai-Ovna House of Tea,4.0,42 Otago Lane,"('Vegetarian', 'Tea Rooms', 'Hookah Bars')"
The Lansdowne Bar & Kitchen,3.5,7a Lansdowne Crescent,"('Gastropubs',)"
Wudon,4.0,535 Great Western Road,"('Japanese', 'Sushi Bars')"
Paesano Pizza,4.5,471 Great Western Road,"('Pizza',)"
The Yarn Cake,4.5,148 Queen Margaret Drive,"('Coffee & Tea', 'Knitting Supplies')"
BRGR,3.5,526 Great Western Road,"('Burgers',)"
Smile Café,4.5,102 Queen Margaret Drive,"('Breakfast & Brunch', 'Cafes')"
North Star Café & Bistro,4.5,108 Queen Margaret Drive,"('Bistros', 'Cafes')"
William Cafe,4.0,94 Queen Margaret Drive,"('Cafes',)"
River Kelvin Walkway,5.0,,"('Local Flavor', 'Landmarks & Historical Buildings', 'Parks')"
Greggs,3.0,1061 Maryhill Rd,"('Bakeries',)"
The Belle,4.0,617 Great Western Road,"('Pubs',)"
Spicy Bite,1.0,219-221 Saracen Street,"('Indian',)"
Vito's,1.5,419 Hawthorn Street,"('Fish & Chips',)"
Tower Bar,2.5,8 Possil Road,"('Pubs',)"
Flames All In One,5.0,135-139 Ashfield Street,"('Fast Food',)"
Ashfield Bar,3.0,404 Hawthorn Street,"('Pubs',)"
Star & Garter,2.0,687 Garscube Road,"('Pubs',)"
Marco's FishBar,1.0,116 Maryhill Road,"('Fish & Chips',)"
Royalty Ale House,2.5,144 Maryhill Road,"('Pubs',)"
The Forge Market,4.0,1201 Duke St,"('Market Stalls', 'Indoor Playcentre', 'Food Court')"
McDonald's,3.5,Forge,"('Fast Food', 'Burgers')"
Old Black Bull,5.0,1316-1318 Gallowgate,"('Pubs',)"
Bensons,2.5,Unit 44- 46,"('Coffee & Tea', 'Desserts', 'Fish & Chips')"
KFC,3.0,2 Forge Shopping Centre,"('Fast Food', 'Chicken Shop', 'Chicken Wings')"
McChans,3.0,Unit 55 Forge Shopping Centre,"('Chinese',)"
BB's Coffee and Muffins,3.0,The Forge Shopping Centre,"('Coffee & Tea',)"
Kerrydale Bar,2.5,Celtic Park,"('Sports Bars',)"
The Bank,3.0,1450 Gallowgate,"('Pubs',)"
Glasgow 2014 Athletes' Village,5.0,Springfield Road,"('Local Flavor',)"
Rab Haws Kitchens,5.0,111 Helenvale Street,"('Fast Food',)"
Pizza Hut,2.5,Unit 2 921 Gallowgate,"('Pizza', 'Italian')"
Celtic View,3.0,Parkhead,"('Print Media', 'Local Flavor')"
Supreme Steak Bar,3.0,Celtic Park,"('Food Stands',)"
Crabshakk,4.5,1114 Argyle Street,"('Seafood',)"
Porter & Rye,4.5,1131 Argyle Street,"('Steakhouses',)"
Mother India,4.5,28 Westminster Terrace,"('Indian',)"
The Hidden Lane Tearoom,4.5,1103 Argyle Street,"('Tea Rooms', 'Cafes')"
Bibi's,4.5,599 Dumbarton Road,"('Mexican',)"
6 Degrees North,4.5,566 Dumbarton Road,"('Pubs',)"
St Louis,3.5,734 Dumbarton Road,"('Bars', 'Cafes')"
Meadow Road,4.5,579 Dumbarton Road,"('Coffee & Tea', 'Delis')"
Roastit Bubbly Jocks,4.5,450 Dumbarton Road,"('Scottish', 'Seafood', 'Bistros')"
Wee Lochan,5.0,340 Crow Road,"('Scottish',)"
The Thornwood,4.5,724 Dumbarton Road,"('Pubs',)"
Ceqwa,4.0,692 Dumbarton Road,"('Cafes',)"
Grillicious Partick,3.5,643 Dumbarton Road,"('Mediterranean',)"
Epicures of Hyndland,3.5,159 Hyndland Road,"('Cafes',)"
The Hyndland Fox,3.5,43 Clarence Drive,"('Cafes', 'Scottish', 'Bars')"
Riverside Museum,4.0,100 Pointhouse Place,"('Museums',)"
The Hyndland Cafe,4.0,96 Clarence Drive,"('Coffee & Tea', 'Breakfast & Brunch', 'British')"
Deoch an Dorus,4.0,427-429 Dumbarton Road,"('Bars',)"
Cafe Circa,5.0,322 Crow Road,"('Cafes',)"
Nick's Italian Kitchen & Bar,3.5,168 Hyndland Road,"('Italian',)"
Victoria Park,4.5,12 Victoria Park Drive North,"('Landmarks & Historical Buildings',)"
The Pavillion,4.0,231 Crow Road,"('Coffee & Tea', 'Breakfast & Brunch')"
Roscoe's Deli Bar,5.0,23 Clarence Drive,"('Delicatessen', 'Gluten-Free')"
Cafe Avanti,4.0,24-26 Merkland Street,"('Cafes',)"
Cafezique,4.0,70-72 Hyndland Street,"('Delis', 'Breakfast & Brunch')"
Kelvingrove Art Gallery & Museum,4.5,Argyle Street,"('Museums',)"
Kimchi Cult,4.5,14 Chancellor Street,"('Korean',)"
Kember & Jones,4.5,134 Byres Road,"('Breakfast & Brunch', 'Bakeries', 'Cafes')"
The Butterscotch Bakery,5.0,175 Hyndland Road,"('Bakeries',)"
West End Festival Glasgow,4.5,Byres Road,"('Local Flavor', 'Food Stands', 'Music Venues')"
My Home Bakery,4.5,59 Hyndland Street,"('Bakeries',)"
Two Fat Ladies,5.0,88 Dumbarton Road,"('Seafood',)"
Scotia Bar,4.0,112 Stockwell Street,"('Pubs', 'Music Venues', 'Gastropubs')"
Papa Johns,3.5,273 Duke Street,"('Food Delivery Services', 'Pizza')"
Grants The Bakers,5.0,100 Bellgrove St,"('Bakeries',)"
Lidl,3.5,285 Duke Street,"('Grocery', 'Bakeries')"
Cathedral House Hotel,4.0,28-32 Cathedral Square,"('Hotels', 'Scottish')"
Oriental Cuisine,2.5,292 Duke Street,"('Fast Food', 'Chinese', 'Thai')"
Winners,2.0,140 Sword Street,"('Chinese',)"
Qua Restaurant,4.0,68 Ingram Street,"('Italian',)"
Amore Ristorante e Pizzeria,3.5,30 Ingram Street,"('Italian', 'Pizza')"
Sapporo Teppanyaki,3.5,2-6 Ingram Street,"('Japanese', 'Sushi Bars')"
Picnic,5.0,103 Ingram Street,"('Cafes', 'Breakfast & Brunch', 'Desserts')"
Obsession of India,5.0,25 High Street,"('Indian',)"
Merchant Square,4.5,71 Albion Street,"('Local Flavor',)"
Metropolitan,3.5,60 Candleriggs,"('Lounges', 'Champagne Bars', 'Cocktail Bars')"
Khublai Khan's,3.5,26 Candleriggs,"('Mongolian',)"
Tron Theatre,4.0,63 Trongate,"('Performing Arts', 'Bars', 'Scottish')"
Cafe India,4.5,29 Albion Street,"('Indian',)"
Atlantic Bar & Brasserie,4.5,12-16 St Vincent Place,"('Cocktail Bars', 'Seafood', 'French')"
Jamie's Italian - Glasgow,3.0,7 George Square,"('Italian',)"
The Gannet,4.5,1155 Argyle Street,"('Scottish', 'Bistros')"
Ambala Restaurant,5.0,11 Forth Street,"('Pakistani', 'Kebab', 'Indian')"
Ollie's,4.5,122 Nithsdale Road,"('Breakfast & Brunch', 'Pizza', 'Sandwiches')"
Cafe Coco,4.5,12 Albert Drive,"('Cafes',)"
McDonald's,4.5,489 Pollokshaws Road,"('Burgers',)"
The Chicken Hut Pollokshields,4.0,162 Albert Drive,"('Chicken Wings',)"
Buddy's Bar Diner Grill,3.0,677-681 Pollokshaws Road,"('American (Traditional)', 'Barbeque', 'Bars')"
Kebabish Grill,4.0,323-325 Victoria Road,"('Indian', 'Japanese', 'Pakistani')"
Malaga Tapas,4.5,215 St Andrews Road,"('Tapas/Small Plates', 'Spanish')"
Moyra Janes,4.0,20 Kildrostan Street,"('Coffee & Tea', 'Breakfast & Brunch')"
Lahore Kebab House Halal & Indian Takeaway,2.5,196 Albert Dr,"('Halal', 'Indian')"
New Anand,3.5,76 Nithsdale Road,"('Indian',)"
Cricklewood Hotel,3.0,27 Hamilton Road,"('British',)"
Rustico,1.0,16 Grantlea Terrace,"('Coffee & Tea',)"
Rossano's Bar Bistro,4.0,846 Crow Road,"('Italian',)"
Ecco 808 il Cafe,5.0,808 Crow Road,"('Italian', 'Butcher')"
Esquire House,3.0,Clevelands,"('Pubs',)"
Thomas Auld & Sons,4.5,1632 Great Western Road,"('Bakeries',)"
B J's,1.5,828 Crow Road,"('Pubs',)"
Lunch,4.5,1620 Great Western Road,"('Cafes',)"
Subway,4.0,1617 Great Western Road,"('Fast Food', 'Sandwiches')"
Beefcake Cafe,5.0,808 Crow Road,"('Cafes',)"
Gennaro Fish & Chicken Bar,3.5,3 Herschell Street,"('Fast Food', 'Fish & Chips')"
1051 GWR,3.5,1051 Gt Western Road,"('British',)"
